timestamp	step	train_loss
1649115947990	1	0.6580411791801453
1649115952611	3	0.6533342003822327
1649115956985	5	0.6503031253814697
1649115961552	7	0.6476057767868042
1649115965871	9	0.6477034687995911
1649115970367	11	0.6480820775032043
1649115974681	13	0.6408196687698364
1649115978985	15	0.6401317715644836
1649115983319	17	0.6408233046531677
1649115987659	19	0.6345383524894714
1649115992009	21	0.6424143314361572
1649115996380	23	0.6336261034011841
1649116000768	25	0.630822479724884
1649116005103	27	0.630082905292511
